"Type","PARbin","Yield","YieldSD","qP","qpSD","A","ASD","An","Fv/Fm","Fv/FmSD","GH2O","GH2OSD","n"
"Ctrl","0",0.436783333333333,0.0153498425616247,0.935016666666667,0.052544473226655,-1.57858759583333,0.371975900391823,72,0.467866666666667,0.0304969943874255,81.0969036111111,36.0460515322564,6
"NC","0",0.4581,0.0312981149592112,0.91935,0.026478878375037,-1.37227310833333,0.387052324056211,72,0.5015,0.0308828107529092,83.1332541666667,23.23706412259,6
"Ctrl","50",0.421083333333333,0.0368413581001931,0.421083333333333,0.0368413581001931,0.551538852777778,0.190894142315385,36,0,0,91.7166266666667,38.0572334820346,6
"NC","50",0.440383333333333,0.0328088656717459,0.440383333333333,0.0328088656717459,0.627693583333333,0.116418455622008,36,0,0,94.4251341666667,22.2047961987439,6
"Ctrl","100",0.406316666666667,0.0273288431271188,0.406316666666667,0.0273288431271188,2.40145377777778,0.218816974062161,36,0,0,98.8677355555556,39.9752110381643,6
"NC","100",0.426666666666667,0.0211323133297485,0.426666666666667,0.0211323133297485,2.33689761111111,0.296908504579468,36,0,0,104.264933611111,21.4822156837178,6
"Ctrl","150",0.395683333333333,0.0285916363062114,0.395683333333333,0.0285916363062114,4.06616208333333,0.332988041675405,36,0,0,105.655280833333,42.58793181321,6
"NC","150",0.410016666666667,0.0233527228961992,0.410016666666667,0.0233527228961992,3.92815188888889,0.474124236474473,36,0,0,114.932511111111,21.9610197544258,6
"Ctrl","200",0.374633333333333,0.0264710911499067,0.374633333333333,0.0264710911499067,5.51343594444444,0.470632344745173,36,0,0,113.719007222222,44.336878866511,6
"NC","200",0.384166666666667,0.0334931435769572,0.384166666666667,0.0334931435769572,5.37740491666667,0.670575996110481,36,0,0,126.3442525,20.9122745158463,6
"Ctrl","300",0.353216666666667,0.016372466725166,0.353216666666667,0.016372466725166,8.03690966666667,0.664887044185573,36,0,0,125.339908888889,44.8057617845303,6
"NC","300",0.35385,0.0307133684248407,0.35385,0.0307133684248407,7.87274013888889,1.12085872717984,36,0,0,138.269305555556,25.0736811248875,6
"Ctrl","400",0.335483333333333,0.0222033706149915,0.335483333333333,0.0222033706149915,10.1740746388889,0.931417378516149,36,0,0,142.846656388889,45.5185761640332,6
"NC","400",0.34055,0.0346317051269498,0.34055,0.0346317051269498,9.80707366666667,1.62951594694479,36,0,0,146.621191666667,28.7698668175911,6
"Ctrl","600",0.270566666666667,0.0206275220680204,0.270566666666667,0.0206275220680204,13.0979233888889,1.61376207686999,36,0,0,160.050043333333,53.4571545294932,6
"NC","600",0.277183333333333,0.0385671060188169,0.277183333333333,0.0385671060188169,12.7734701388889,2.40915414105167,36,0,0,162.430422222222,32.0703845681794,6
"Ctrl","900",0.224533333333333,0.035772037496719,0.224533333333333,0.035772037496719,15.3753961111111,2.31344160000671,36,0,0,175.537504722222,63.6458574371424,6
"NC","900",0.245966666666667,0.0218506445366416,0.245966666666667,0.0218506445366416,15.4065791666667,3.0198260446138,36,0,0,181.167063888889,32.6703198042518,6
"Ctrl","1200",0.200983333333333,0.0193268121185742,0.200983333333333,0.0193268121185742,16.8433222222222,2.38221723320597,36,0,0,196.631925,69.1902120166362,6
"NC","1200",0.208183333333333,0.0188492351745811,0.208183333333333,0.0188492351745811,17.0548158333333,3.14514583897097,36,0,0,202.959105555556,31.6866867313428,6
"Ctrl","1600",0.186716666666667,0.0200978025332788,0.186716666666667,0.0200978025332788,18.0655347222222,2.28017781735358,36,0,0,218.521377777778,70.9248713208727,6
"NC","1600",0.180166666666667,0.0335177365982052,0.180166666666667,0.0335177365982052,17.5443852777778,3.5277768313822,36,0,0,209.171202777778,37.3608988748358,6
"Ctrl","2000",0.162666666666667,0.029970763531593,0.162666666666667,0.029970763531593,17.9989233333333,2.81825287125299,36,0,0,218.818594444444,88.3573657059523,6
"NC","2000",0.151,0.0439866343336246,0.151,0.0439866343336246,17.0080455555556,3.77562450096665,36,0,0,198.145808333333,40.2260737371129,6
